image_id,image_path,grade,sample_id,camera_model,orientation,width,height,aspect_ratio,image_readable,size_quality,color_quality,texture_quality,broken_level,light_berry_level,pinhead_level,foreign_matter_visible,mould_visible,insect_damage_visible
IMGV2_000001,data/raw/berry_images/grade_1/sample_001/20260508_152150.jpg,Grade 1,sample_001,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000002,data/raw/berry_images/grade_1/sample_001/20260508_152214.jpg,Grade 1,sample_001,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000003,data/raw/berry_images/grade_1/sample_001/20260508_152238.jpg,Grade 1,sample_001,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000004,data/raw/berry_images/grade_1/sample_001/20260508_152445.jpg,Grade 1,sample_001,samsung SM-A127F,3,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000005,data/raw/berry_images/grade_1/sample_002/20260508_152537.jpg,Grade 1,sample_002,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000006,data/raw/berry_images/grade_1/sample_002/20260508_152630.jpg,Grade 1,sample_002,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000007,data/raw/berry_images/grade_1/sample_002/20260508_152707.jpg,Grade 1,sample_002,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000008,data/raw/berry_images/grade_1/sample_002/20260508_152716.jpg,Grade 1,sample_002,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000009,data/raw/berry_images/grade_1/sample_002/20260508_152835.jpg,Grade 1,sample_002,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
IMGV2_000010,data/raw/berry_images/grade_1/sample_003/20260508_152901.jpg,Grade 1,sample_003,samsung SM-A127F,6,4000,3000,1.333333,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
