date,commodity,country,district,grade,price_type,price_lkr_per_kg,currency,unit,market_level,frequency,source,source_url
2021-02-22,black_pepper,Sri Lanka,Badulla,Grade 1,average,1245.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Badulla,Grade 1,highest,1300.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Colombo,Grade 1,average,1213.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Colombo,Grade 1,highest,1250.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Galle,Grade 1,average,1275.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Galle,Grade 1,highest,1300.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Gampaha,Grade 1,average,1225.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Gampaha,Grade 1,highest,1300.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Hambantota,Grade 1,average,1300.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Hambantota,Grade 1,highest,1300.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Kalutara,Grade 1,average,1370.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Kalutara,Grade 1,highest,1400.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Kandy,Grade 1,average,1255.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Kandy,Grade 1,highest,1350.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Kegalle,Grade 1,average,1266.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Kegalle,Grade 1,highest,1300.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Kurunegala,Grade 1,average,1264.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Kurunegala,Grade 1,highest,1300.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Matale,Grade 1,average,1322.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Matale,Grade 1,highest,1350.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Matara,Grade 1,average,1310.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Matara,Grade 1,highest,1310.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,National,Grade 1,average,1266.92,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,National,Grade 1,highest,1400.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Nuwara Eliya,Grade 1,average,1190.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Nuwara Eliya,Grade 1,highest,1200.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
2021-02-22,black_pepper,Sri Lanka,Ratnapura,Grade 1,average,1250.0,LKR,kg,farm_gate,weekly,Department of Export Agriculture,https://exagri.info/mkt/index.html
