date,price_lkr_per_kg
2021-02-22,1266.92
2022-01-04,1133.43
2022-01-11,1146.71
2022-01-18,1141.85
2022-01-25,1138.71
2022-02-01,1100.57
2022-02-08,1101.57
2022-02-14,1170.71
2022-03-08,1351.93
2022-03-15,1419.57
2022-03-22,1530.86
2022-03-29,1527.14
2022-04-05,1584.29
2022-04-19,1733.54
2022-04-26,1902.5
2022-05-04,1984.36
2022-05-17,1817.57
2022-05-24,1802.29
2022-05-31,1716.07
2022-06-07,1735.93
2022-06-15,1721.86
2022-06-21,1725.43
2022-06-28,1755.14
2022-07-05,1781.14
2022-07-12,1789.07
2022-07-19,1806.21
2022-07-26,1832.43
2022-08-02,1846.21
2022-08-09,1838.36
2022-08-16,1812.14
2022-08-23,1761.64
2022-08-30,1750.93
2022-09-06,1747.93
2022-09-13,1746.64
2022-09-20,1773.14
2022-09-27,1800.36
2022-10-04,1806.29
2022-10-11,1807.79
2022-10-18,1815.07
2022-10-25,1803.07
2022-11-01,1796.57
2022-11-08,1795.79
2022-11-15,1766.29
2022-11-22,1725.0
2022-11-29,1641.57
2022-12-05,1599.79
2022-12-13,1623.79
2022-12-20,1664.14
2022-12-27,1669.29
2023-01-03,1667.0
2023-01-10,1670.64
2023-01-17,1678.64
2023-01-24,1691.21
2023-01-31,1687.14
2023-02-07,1673.86
2023-02-14,1663.29
2023-02-21,1659.93
2023-02-28,1670.71
2023-03-07,1460.29
2023-03-14,1322.0
2023-03-21,1445.86
2023-03-28,1408.71
2023-04-03,1460.79
2023-04-10,1460.64
2023-04-18,1456.92
2023-05-02,1446.71
2023-05-09,1463.21
2023-05-16,1442.43
2023-05-23,1384.07
2023-05-30,1335.71
2023-06-06,1443.5
2023-06-13,1327.43
2023-06-20,1339.0
2023-06-27,1346.36
2023-07-04,1327.21
2023-07-11,1346.86
2023-07-18,1394.5
2023-07-25,1565.93
2023-07-31,1659.43
2023-08-08,1947.14
2023-08-15,1872.14
2023-08-22,1903.14
2023-08-28,1941.21
2023-09-05,1931.21
2023-09-12,1944.14
2023-09-19,1936.57
2023-09-26,1889.07
2023-10-03,1902.71
2023-10-10,1926.36
2023-10-17,1932.0
2023-10-24,1949.71
2023-10-31,1965.79
2023-11-07,1950.0
2023-11-14,1933.86
2023-11-21,1930.93
2023-11-28,1920.14
2023-12-05,1887.43
2023-12-12,1903.71
2023-12-19,1887.86
2023-12-27,1876.07
2024-01-02,1881.14
2024-01-09,1899.29
2024-01-16,1906.07
2024-01-23,1900.93
2024-01-30,1870.79
2024-02-06,1860.0
2024-02-13,1814.64
2024-02-20,1781.79
2024-02-25,1912.57
2024-02-27,1782.0
2024-03-05,1764.57
2024-03-12,1719.5
2024-03-19,1693.14
2024-03-26,1639.86
2024-04-02,1586.71
2024-04-08,1582.71
2024-04-16,1574.54
2024-04-24,1527.64
2024-04-30,1535.36
2024-05-07,1550.14
2024-05-14,1571.57
2024-05-21,1578.86
2024-05-28,1607.07
2024-06-04,1641.07
2024-06-11,1771.29
2024-06-18,1756.93
2024-06-25,1783.69
2024-07-02,1792.79
2024-07-16,1754.14
2024-07-23,1721.43
2024-07-30,1727.46
2024-08-06,1752.64
2024-08-13,1736.43
2024-08-20,1737.07
2024-08-27,1729.57
2024-09-03,1737.14
2024-09-10,1774.57
2024-09-18,1806.21
2024-09-24,1795.14
2024-10-01,1780.64
2024-10-15,1744.79
2024-10-22,1745.5
2024-10-29,1759.5
2024-11-05,1788.86
2024-11-12,1796.0
2024-11-19,1814.93
2024-11-26,1804.5
2024-12-03,1823.36
2024-12-10,1815.43
2024-12-17,1823.0
2024-12-24,1806.71
2024-12-31,1800.64
2025-01-07,1792.14
2025-01-15,1805.86
2025-01-21,1837.86
2025-01-28,1871.86
2025-02-05,1887.77
2025-02-11,1880.36
2025-02-18,1891.64
2025-03-04,1921.29
2025-03-11,1934.79
2025-03-18,1954.64
