date,price_lkr_per_kg,country,market_level,grade,frequency,source
2013-01-01,703,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-02-01,692,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-03-01,701,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-04-01,688,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-05-01,662,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-06-01,662,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-07-01,657,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-08-01,666,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-09-01,743,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-10-01,789,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-11-01,900,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2013-12-01,940,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-01-01,874,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-02-01,852,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-03-01,852,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-04-01,875,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-05-01,987,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-06-01,1012,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-07-01,1172,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-08-01,1224,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-09-01,1143,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-10-01,1171,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-11-01,1167,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2014-12-01,1120,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-01-01,982,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-02-01,982,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-03-01,1049,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-04-01,1053,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-05-01,1072,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-06-01,1116,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-07-01,1140,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-08-01,1087,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-09-01,1133,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-10-01,1161,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-11-01,1228,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2015-12-01,1205,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2016-01-01,1199,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2016-02-01,1185,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2016-03-01,1222,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2016-04-01,1222,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2016-05-01,1268,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
2016-06-01,1326,Sri Lanka,local_average,ungraded,monthly,International Pepper Community
